rows columns xmin xmax ymin ymax searches_density num_searches time min x y
800 800 -10.000000 10.000000 -10.000000 10.000000 0.500000 320000 88 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.500000 320000 84 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.500000 320000 67 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.700000 448000 66 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.700000 448000 62 -68053 -1.575000 6.275000
800 800 -10.000000 10.000000 -10.000000 10.000000 0.700000 448000 66 -68053 -7.850000 6.275000
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.300000 432000 173 -108181 -1.566667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.300000 432000 310 -108181 4.716667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.300000 432000 222 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.500000 720000 259 -108181 -1.566667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.500000 720000 255 -108181 4.716667 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.500000 720000 215 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.700000 1007999 244 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.700000 1007999 220 -108181 -7.850000 6.283333
1200 1200 -10.000000 10.000000 -10.000000 10.000000 0.700000 1007999 243 -108181 4.716667 6.283333
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.300000 768000 405 -74457 -1.575000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.300000 768000 393 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.300000 768000 359 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.500000 1280000 408 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.500000 1280000 368 -74457 -7.850000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.500000 1280000 390 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.700000 1792000 400 -74457 4.712500 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.700000 1792000 503 -74457 -7.850000 6.287500
1600 1600 -10.000000 10.000000 -10.000000 10.000000 0.700000 1792000 381 -74457 4.712500 6.287500
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.300000 1200000 579 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.300000 1200000 625 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.300000 1200000 625 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.500000 2000000 588 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.500000 2000000 763 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.500000 2000000 692 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.700000 2800000 818 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.700000 2800000 687 -77492 -1.570000 6.280000
2000 2000 -10.000000 10.000000 -10.000000 10.000000 0.700000 2800000 652 -77492 -1.570000 6.280000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.300000 4800000 2515 -83118 -1.575000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.300000 4800000 2670 -83118 -7.860000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.300000 4800000 2390 -83118 -7.860000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.500000 8000000 2678 -83118 4.715000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.500000 8000000 2467 -83118 -1.565000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.500000 8000000 2638 -83118 -7.850000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.700000 11200000 2768 -83118 -1.575000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.700000 11200000 2944 -83118 4.710000 6.285000
4000 4000 -10.000000 10.000000 -10.000000 10.000000 0.700000 11200000 2711 -83118 4.710000 6.285000
